source_row_id,order_id,user_id,order_date,channel,status,total,updated_at
1,ORD-000015,CUST-00040,2026-08-04 09:17:29,web,delivered,359.34,2026-08-06 14:34:29
2,ORD-000099,CUST-00048,2026-06-12 01:17:12,Web,delivered,232.2,2026-06-15 04:45:12
3,ORD-000076,CUST-99999,2026-05-23 06:47:34,web,delivered,1002.62,2026-05-25 03:15:34
4,ORD-000017,CUST-00012,2026-08-08 22:12:23,store,confirmed,838.06,2026-08-10 09:42:23
5,ORD-000132,CUST-00003,2026-05-31 15:07:10,web,cancelled,293.99,2026-06-07 00:52:10
6,ORD-000057,CUST-00025,2026-03-07 10:14:08,store,delivered,155.26,2026-03-15 12:16:08
7,ORD-000142,CUST-00017,2026-08-12 11:51:57,app,preparing,629.36,2026-08-13 17:30:57
8,ORD-000045,CUST-00011,2026-02-22 00:29:09,app,delivered,1064.51,2026-02-23 18:52:09
9,ORD-000030,CUST-88888,2026-05-04 17:17:36,store,shipped,980.25,2026-05-07 15:31:36
10,ORD-000121,CUST-00031,2026-06-20 07:50:37,store,delivered,128.67,2026-06-25 00:46:37
11,ORD-000095,CUST-00027,2026-06-27 03:36:54,app,shipped,1215.21,2026-06-29 08:31:54
12,ORD-000006,CUST-00012,2026-07-26 19:25:20,app,delivered,325.42,2026-08-02 01:38:20
13,ORD-000103,CUST-00026,2026-08-15 08:49:53,web,shipped,985.66,2026-08-17 00:00:00
14,ORD-000052,CUST-00003,2026-07-01 23:13:13,web,shipped,1321.62,2026-07-10 13:15:13
15,ORD-000079,CUST-00013,2026-04-18 03:55:45,app,preparing,503.26,2026-04-21 09:37:45
16,ORD-000043,CUST-00051,2025-12-20 02:53:50,store,delivered,1184.24,2025-12-26 23:10:50
17,ORD-000093,CUST-00040,2026-06-29 01:41:26,store,delivered,1006.5,2026-07-04 05:42:26
18,ORD-000067,CUST-00005,2026-06-06 16:58:33,app,shipped,928.15,2026-06-06 22:46:33
19,ORD-000032,CUST-00042,2025-10-04 07:23:47,store,delivered,798.49,2025-10-13 21:37:47
20,ORD-000036,CUST-00020,2026-04-22 18:38:46,App,shipped,652.87,2026-04-24 05:41:46
21,ORD-000091,CUST-00023,2026-07-24 23:40:36,app,delivered,435.04,2026-07-31 15:12:36
22,ORD-000085,CUST-00002,2025-06-05 15:02:34,app,delivered,152.58,2025-06-06 01:01:34
23,ORD-000078,CUST-00045,2026-03-29 07:23:00,web,delivered,730.0,2026-04-03 20:38:00
24,ORD-000041,CUST-00056,2026-05-30 12:50:11,WEB,delivered,251.63,2026-06-04 14:06:11
25,ORD-000126,CUST-00041,2026-06-13 17:50:01,app,cancelled,1330.8,2026-06-14 05:49:01
26,ORD-000100,CUST-00056,2025-12-12 10:21:48,app,cancelled,226.23,2025-12-13 15:41:48
27,ORD-000034,CUST-00012,2026-06-08 10:55:49,web,shipped,230.38,2026-06-16 04:11:49
28,ORD-000020,CUST-00022,2025-10-19 18:34:37,store,preparing,1293.26,2025-10-29 11:07:37
29,ORD-000074,CUST-00001,2025-08-13 20:05:57,store,shipped,995.17,2025-08-15 06:42:57
