event_id,payment_id,order_id,method,amount,previous_status,new_status,event_timestamp
PAYEVT-000074,PAY-000037,ORD-000037,credit_card,618.02,pending,approved,2026-07-02 09:21:11
PAYEVT-000031,PAY-000016,ORD-000016,credit_card,212.54,,pending,2026-06-06 22:44:10
PAYEVT-000229,PAY-000115,ORD-000115,cash,631.23,,pending,2026-07-28 09:03:15
PAYEVT-000239,PAY-000120,ORD-000120,debit_card,502.12,,pending,2025-10-30 04:44:54
PAYEVT-000260,PAY-000130,ORD-000130,pse,480.38,pending,approved,2026-02-10 16:35:36
PAYEVT-000165,PAY-000083,ORD-000083,credit_card,166.04,,pending,2025-09-26 06:50:27
PAYEVT-000198,PAY-000099,ORD-000099,credit_card,232.2,pending,approved,2026-06-12 01:50:12
PAYEVT-000228,PAY-000114,ORD-000114,debit_card,1470.56,pending,approved,2026-02-08 05:02:54
PAYEVT-000275,PAY-000138,ORD-000138,cash,600.75,,pending,2026-08-11 11:29:42
PAYEVT-000059,PAY-000030,ORD-000030,debit_card,980.25,,pending,2026-05-04 17:23:36
PAYEVT-000203,PAY-000102,ORD-000102,credit_card,1035.55,,pending,2026-05-29 19:12:12
PAYEVT-000174,PAY-000087,ORD-000087,cash,1142.51,pending,approved,2026-05-17 18:52:31
PAYEVT-000237,PAY-000119,ORD-000119,digital_wallet,612.32,,pending,2025-11-05 14:47:53
PAYEVT-000083,PAY-000042,ORD-000042,digital_wallet,1102.17,,pending,2026-08-06 04:24:28
PAYEVT-000284,PAY-000142,ORD-000142,pse,629.36,pending,approved,2026-08-14 06:51:57
PAYEVT-000298,PAY-000149,ORD-000149,cash,650.1,pending,approved,2026-07-28 18:22:15
PAYEVT-000121,PAY-000061,ORD-000061,credit_card,400.5,,pending,2026-01-03 23:41:37
PAYEVT-000158,PAY-000079,ORD-000079,pse,503.26,pending,approved,2026-04-19 15:48:45
PAYEVT-000231,PAY-000116,ORD-000116,debit_card,128.67,,pending,2026-01-19 06:59:38
PAYEVT-000019,PAY-000010,ORD-000010,credit_card,936.47,,pending,2026-05-13 21:48:00
PAYEVT-000062,PAY-000031,ORD-000031,debit_card,1303.74,pending,refunded,2026-02-28 12:56:23
PAYEVT-000012,PAY-000006,ORD-000006,debit_card,325.42,pending,approved,2026-07-28 14:13:20
PAYEVT-000170,PAY-000085,ORD-000085,credit_card,152.58,pending,rejected,2025-06-07 07:31:34
PAYEVT-000166,PAY-000083,ORD-000083,credit_card,166.04,pending,approved,2025-09-28 00:45:27
PAYEVT-000218,PAY-000109,ORD-000109,cash,309.25,pending,approved,2026-05-13 17:44:17
PAYEVT-000223,PAY-000112,ORD-000112,credit_card,815.42,,pending,2025-09-26 09:41:03
PAYEVT-000101,PAY-000051,ORD-000051,pse,754.94,,pending,2026-06-03 18:50:07
PAYEVT-000090,PAY-000045,ORD-000045,digital_wallet,1064.51,pending,approved,2026-02-23 00:16:09
PAYEVT-000118,PAY-000059,ORD-000059,debit_card,333.69,pending,approved,2026-04-20 00:22:42
PAYEVT-000086,PAY-000043,ORD-000043,credit_card,1184.24,pending,approved,2025-12-21 07:25:50
PAYEVT-000013,PAY-000007,ORD-000007,pse,969.88,,pending,2026-01-07 10:45:28
PAYEVT-000293,PAY-000147,ORD-000147,digital_wallet,429.24,,pending,2026-05-23 14:33:42
PAYEVT-000028,PAY-000014,ORD-000014,debit_card,203.48,pending,approved,2025-12-23 14:05:43
PAYEVT-000060,PAY-000030,ORD-000030,debit_card,980.25,pending,rejected,2026-05-06 12:54:36
PAYEVT-000030,PAY-000015,ORD-000015,cash,359.34,pending,approved,2026-08-07 05:21:29
PAYEVT-000140,PAY-000070,ORD-000070,pse,196.66,pending,approved,2026-08-11 22:34:40
PAYEVT-000108,PAY-000054,ORD-000054,pse,375.92,pending,approved,2026-08-16 06:44:54
PAYEVT-000188,PAY-000094,ORD-000094,debit_card,1418.79,pending,approved,2025-11-13 11:36:49
PAYEVT-000128,PAY-000064,ORD-000064,pse,407.5,pending,approved,2026-08-01 02:15:09
PAYEVT-000207,PAY-000104,ORD-000104,pse,367.47,,pending,2026-04-16 08:34:28
PAYEVT-000230,PAY-000115,ORD-000115,cash,631.23,pending,approved,2026-07-28 15:43:15
PAYEVT-000187,PAY-000094,ORD-000094,debit_card,1418.79,,pending,2025-11-10 23:15:49
PAYEVT-000106,PAY-000053,ORD-000053,pse,414.84,pending,approved,2026-07-31 03:50:46
PAYEVT-000209,PAY-000105,ORD-000105,cash,992.19,,pending,2026-06-30 18:11:56
PAYEVT-000091,PAY-000046,ORD-000046,cash,915.94,,pending,2026-05-21 08:12:23
PAYEVT-000234,PAY-000117,ORD-000117,debit_card,884.78,pending,approved,2026-08-05 03:02:31
PAYEVT-000164,PAY-000082,ORD-000082,pse,346.85,pending,approved,2025-12-07 08:49:58
PAYEVT-000103,PAY-000052,ORD-000052,cash,1321.62,,pending,2026-07-01 23:27:13
PAYEVT-000205,PAY-000103,ORD-000103,cash,985.66,,pending,2026-08-15 08:52:53
PAYEVT-000005,PAY-000003,ORD-000003,pse,472.12,,pending,2026-07-25 02:53:03
PAYEVT-000168,PAY-000084,ORD-000084,debit_card,362.75,pending,approved,2025-10-16 13:32:33
PAYEVT-000259,PAY-000130,ORD-000130,pse,480.38,,pending,2026-02-10 05:46:36
PAYEVT-000052,PAY-000026,ORD-000026,digital_wallet,135.72,pending,approved,2026-02-04 19:27:20
PAYEVT-000182,PAY-000091,ORD-000091,digital_wallet,435.04,pending,approved,2026-07-27 01:13:36
PAYEVT-000081,PAY-000041,ORD-000041,debit_card,251.63,,pending,2026-05-30 12:57:11
PAYEVT-000010,PAY-000005,ORD-000005,debit_card,407.1,pending,approved,2026-07-20 02:55:09
PAYEVT-000245,PAY-000123,ORD-000123,cash,361.95,,pending,2026-07-19 16:56:42
PAYEVT-000017,PAY-000009,ORD-000009,digital_wallet,462.72,,pending,2026-08-16 00:30:56
PAYEVT-000139,PAY-000070,ORD-000070,pse,196.66,,pending,2026-08-08 22:57:40
PAYEVT-000071,PAY-000036,ORD-000036,digital_wallet,652.87,,pending,2026-04-22 18:46:46
PAYEVT-000001,PAY-000001,ORD-000001,pse,425.08,,pending,2026-07-30 19:56:48
PAYEVT-000178,PAY-000089,ORD-000089,digital_wallet,973.55,pending,approved,2026-02-01 22:39:28
PAYEVT-000160,PAY-000080,ORD-000080,cash,840.87,pending,approved,2026-02-07 14:25:34
PAYEVT-000112,PAY-000056,ORD-000056,digital_wallet,452.41,pending,approved,2025-07-06 18:03:32
PAYEVT-000063,PAY-000032,ORD-000032,digital_wallet,798.49,,pending,2025-10-04 07:29:47
PAYEVT-000243,PAY-000122,ORD-000122,digital_wallet,859.74,,pending,2026-05-04 02:08:43
PAYEVT-000132,PAY-000066,ORD-000066,debit_card,1229.79,pending,approved,2025-11-02 07:20:51
PAYEVT-000162,PAY-000081,ORD-000081,pse,790.23,pending,approved,2025-06-30 02:18:33
PAYEVT-000147,PAY-000074,ORD-000074,debit_card,995.17,,pending,2025-08-13 20:06:57
PAYEVT-000089,PAY-000045,ORD-000045,digital_wallet,1064.51,,pending,2026-02-22 00:36:09
PAYEVT-000173,PAY-000087,ORD-000087,cash,1142.51,,pending,2026-05-15 15:50:31
PAYEVT-000126,PAY-000063,ORD-000063,cash,54.06,pending,approved,2026-04-27 00:32:51
PAYEVT-000202,PAY-000101,ORD-000101,pse,264.85,pending,approved,2026-05-20 05:01:30
