order_item_id,order_id,sku,quantity,unit_price,created_at
OI-000001,ORD-000001,SKU-0028,2,212.54,2026-07-30 19:45:48
OI-000002,ORD-000002,SKU-0011,3,92.53,2026-04-05 08:06:07
OI-000003,ORD-000002,SKU-0029,1,7.31,2026-04-05 08:06:07
OI-000004,ORD-000002,SKU-0028,1,212.54,2026-04-05 08:06:07
OI-000005,ORD-000003,SKU-0028,1,212.54,2026-07-25 02:45:03
OI-000006,ORD-000003,SKU-0009,2,129.79,2026-07-25 02:45:03
OI-000007,ORD-000004,SKU-0023,3,7.75,2025-07-16 03:20:24
OI-000008,ORD-000005,SKU-0011,2,92.53,2026-07-17 11:21:09
OI-000009,ORD-000005,SKU-0012,1,222.04,2026-07-17 11:21:09
OI-000010,ORD-000006,SKU-0018,3,77.63,2026-07-26 19:25:20
OI-000011,ORD-000006,SKU-0011,1,92.53,2026-07-26 19:25:20
OI-000012,ORD-000007,SKU-0023,3,7.75,2026-01-07 10:33:28
OI-000013,ORD-000007,SKU-0020,1,98.33,2026-01-07 10:33:28
OI-000014,ORD-000007,SKU-0015,2,288.43,2026-01-07 10:33:28
OI-000015,ORD-000007,SKU-0002,2,135.72,2026-01-07 10:33:28
OI-000016,ORD-000008,SKU-0022,1,139.88,2026-08-11 01:55:22
OI-000017,ORD-000008,SKU-0002,3,135.72,2026-08-11 01:55:22
OI-000018,ORD-000008,SKU-0008,2,278.32,2026-08-11 01:55:22
OI-000019,ORD-000008,SKU-0017,1,124.11,2026-08-11 01:55:22
OI-000020,ORD-000009,SKU-0025,3,154.24,2026-08-16 00:28:56
OI-000021,ORD-000010,SKU-0024,1,298.85,2026-05-13 21:43:00
OI-000022,ORD-000010,SKU-0028,3,212.54,2026-05-13 21:43:00
OI-000023,ORD-000011,SKU-0033,2,216.7,2026-03-26 14:39:53
OI-000024,ORD-000011,SKU-0020,2,98.33,2026-03-26 14:39:53
OI-000025,ORD-000011,SKU-0027,3,89.07,2026-03-26 14:39:53
OI-000026,ORD-000012,SKU-0012,2,222.04,2026-08-04 18:46:26
OI-000027,ORD-000012,SKU-0020,2,98.33,2026-08-04 18:46:26
OI-000028,ORD-000012,SKU-0026,1,264.85,2026-08-04 18:46:26
OI-000029,ORD-000012,SKU-0001,2,87.17,2026-08-04 18:46:26
OI-000030,ORD-000013,SKU-0011,3,92.53,2026-03-05 02:56:42
OI-000031,ORD-000013,SKU-0006,3,260.07,2026-03-05 02:56:42
OI-000032,ORD-000013,SKU-0019,3,128.67,2026-03-05 02:56:42
OI-000033,ORD-000013,SKU-0033,2,216.7,2026-03-05 02:56:42
OI-000034,ORD-000014,SKU-0002,1,135.72,2025-12-20 15:34:43
OI-000035,ORD-000014,SKU-0003,2,33.88,2025-12-20 15:34:43
OI-000036,ORD-000015,SKU-0025,2,154.24,2026-08-04 09:17:29
OI-000037,ORD-000015,SKU-0032,1,50.86,2026-08-04 09:17:29
OI-000038,ORD-000016,SKU-0028,1,212.54,2026-06-06 22:42:10
OI-000039,ORD-000017,SKU-0008,1,278.32,2026-08-08 22:12:23
OI-000040,ORD-000017,SKU-0030,2,279.87,2026-08-08 22:12:23
OI-000041,ORD-000018,SKU-0033,3,216.7,2026-05-26 05:21:42
OI-000042,ORD-000018,SKU-0028,2,212.54,2026-05-26 05:21:42
OI-000043,ORD-000018,SKU-0029,2,7.31,2026-05-26 05:21:42
OI-000044,ORD-000018,SKU-0011,2,92.53,2026-05-26 05:21:42
OI-000045,ORD-000019,SKU-0016,3,25.21,2026-05-20 23:05:23
OI-000046,ORD-000019,SKU-0018,-1,77.63,2026-05-20 23:05:23
OI-000047,ORD-000019,SKU-0029,1,7.31,2026-05-20 23:05:23
OI-000048,ORD-000019,SKU-0005,2,54.06,2026-05-20 23:05:23
OI-000049,ORD-000020,SKU-0010,2,200.25,2025-10-19 18:34:37
OI-000050,ORD-000020,SKU-0014,2,276.22,2025-10-19 18:34:37
OI-000051,ORD-000020,SKU-0005,3,54.06,2025-10-19 18:34:37
OI-000052,ORD-000020,SKU-0027,2,89.07,2025-10-19 18:34:37
OI-000053,ORD-000021,SKU-0025,2,154.24,2026-04-12 03:39:06
OI-000054,ORD-000022,SKU-0015,2,288.43,2025-10-20 15:29:36
OI-000055,ORD-000022,SKU-0032,1,50.86,2025-10-20 15:29:36
OI-000056,ORD-000022,SKU-0018,2,77.63,2025-10-20 15:29:36
OI-000057,ORD-000022,SKU-0028,2,212.54,2025-10-20 15:29:36
OI-000058,ORD-000023,SKU-0002,3,135.72,2026-02-16 17:21:17
OI-000059,ORD-000023,SKU-0026,3,264.85,2026-02-16 17:21:17
OI-000060,ORD-000024,SKU-0012,2,222.04,2025-04-29 17:33:52
OI-000061,ORD-000024,SKU-0004,1,251.63,2025-04-29 17:33:52
OI-000062,ORD-000024,SKU-0017,2,124.11,2025-04-29 17:33:52
OI-000063,ORD-000024,SKU-0025,2,154.24,2025-04-29 17:33:52
OI-000064,ORD-000025,SKU-0006,3,260.07,2025-12-04 22:11:01
OI-000065,ORD-000025,SKU-0031,3,83.02,2025-12-04 22:11:01
OI-000066,ORD-000025,SKU-0002,1,135.72,2025-12-04 22:11:01
OI-000067,ORD-000026,SKU-0002,1,135.72,2026-02-03 16:09:20
OI-000068,ORD-000027,SKU-0014,2,276.22,2026-03-29 09:36:05
OI-000069,ORD-000028,SKU-0011,2,92.53,2025-12-30 12:55:59
OI-000070,ORD-000029,SKU-0026,1,264.85,2026-08-16 21:28:17
OI-000071,ORD-000029,SKU-0013,3,21.86,2026-08-16 21:28:17
OI-000072,ORD-000029,SKU-0005,2,54.06,2026-08-16 21:28:17
OI-000073,ORD-000029,SKU-0016,3,25.21,2026-08-16 21:28:17
OI-000074,ORD-000030,SKU-0024,1,298.85,2026-05-04 17:17:36
OI-000075,ORD-000030,SKU-0005,2,54.06,2026-05-04 17:17:36
OI-000076,ORD-000030,SKU-0033,2,216.7,2026-05-04 17:17:36
OI-000077,ORD-000030,SKU-0022,1,139.88,2026-05-04 17:17:36
OI-000078,ORD-000031,SKU-0028,3,212.54,2026-02-26 19:56:23
